Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
9/02/2014,7:00 PM,60,0.535,Direct,,NoTOU
9/02/2014,8:00 PM,60,0.79,Direct,,NoTOU
9/02/2014,9:00 PM,60,0.25,Direct,,NoTOU
9/02/2014,10:00 PM,60,0.355,Direct,,NoTOU
9/02/2014,11:00 PM,60,0.575,Direct,,NoTOU
9/03/2014,12:00 AM,60,0.485,Direct,,NoTOU
9/03/2014,1:00 AM,60,0.365,Direct,,NoTOU
9/03/2014,2:00 AM,60,0.375,Direct,,NoTOU
9/03/2014,3:00 AM,60,0.28,Direct,,NoTOU
9/03/2014,4:00 AM,60,0.355,Direct,,NoTOU
9/03/2014,5:00 AM,60,0.34,Direct,,NoTOU
9/03/2014,6:00 AM,60,0.36,Direct,,NoTOU
9/03/2014,7:00 AM,60,0.345,Direct,,NoTOU
9/03/2014,8:00 AM,60,0.345,Direct,,NoTOU
9/03/2014,9:00 AM,60,0.17,Direct,,NoTOU
9/03/2014,10:00 AM,60,0.105,Direct,,NoTOU
9/03/2014,11:00 AM,60,0.105,Direct,,NoTOU
9/03/2014,12:00 PM,60,0.12,Direct,,NoTOU
9/03/2014,1:00 PM,60,0.115,Direct,,NoTOU
9/03/2014,2:00 PM,60,0.12,Direct,,NoTOU
9/03/2014,3:00 PM,60,0.115,Direct,,NoTOU
9/03/2014,4:00 PM,60,0.135,Direct,,NoTOU
9/03/2014,5:00 PM,60,0.14,Direct,,NoTOU
9/03/2014,6:00 PM,60,0.25,Direct,,NoTOU
9/03/2014,7:00 PM,60,0.265,Direct,,NoTOU
9/03/2014,8:00 PM,60,0.57,Direct,,NoTOU
9/03/2014,9:00 PM,60,0.405,Direct,,NoTOU
9/03/2014,10:00 PM,60,1.255,Direct,,NoTOU
9/03/2014,11:00 PM,60,2.07,Direct,,NoTOU
9/04/2014,12:00 AM,60,0.27,Direct,,NoTOU
9/04/2014,1:00 AM,60,0.205,Direct,,NoTOU
9/04/2014,2:00 AM,60,0.185,Direct,,NoTOU
9/04/2014,3:00 AM,60,0.17,Direct,,NoTOU
9/04/2014,4:00 AM,60,0.165,Direct,,NoTOU
9/04/2014,5:00 AM,60,0.18,Direct,,NoTOU
9/04/2014,6:00 AM,60,0.165,Direct,,NoTOU
9/04/2014,7:00 AM,60,0.295,Direct,,NoTOU
9/04/2014,8:00 AM,60,0.175,Direct,,NoTOU
9/04/2014,9:00 AM,60,0.135,Direct,,NoTOU
9/04/2014,10:00 AM,60,0.12,Direct,,NoTOU
9/04/2014,11:00 AM,60,0.11,Direct,,NoTOU
9/04/2014,12:00 PM,60,0.105,Direct,,NoTOU
9/04/2014,1:00 PM,60,0.095,Direct,,NoTOU
9/04/2014,2:00 PM,60,0.12,Direct,,NoTOU
9/04/2014,3:00 PM,60,0.115,Direct,,NoTOU
9/04/2014,4:00 PM,60,0.115,Direct,,NoTOU
9/04/2014,5:00 PM,60,0.1,Direct,,NoTOU
9/04/2014,6:00 PM,60,0.24,Direct,,NoTOU
9/04/2014,7:00 PM,60,0.135,Direct,,NoTOU
9/04/2014,8:00 PM,60,0.385,Direct,,NoTOU
9/04/2014,9:00 PM,60,0.545,Direct,,NoTOU
9/04/2014,10:00 PM,60,0.405,Direct,,NoTOU
9/04/2014,11:00 PM,60,0.255,Direct,,NoTOU
9/05/2014,12:00 AM,60,0.155,Direct,,NoTOU
9/05/2014,1:00 AM,60,0.135,Direct,,NoTOU
9/05/2014,2:00 AM,60,0.135,Direct,,NoTOU
9/05/2014,3:00 AM,60,0.145,Direct,,NoTOU
9/05/2014,4:00 AM,60,0.14,Direct,,NoTOU
9/05/2014,5:00 AM,60,0.16,Direct,,NoTOU
9/05/2014,6:00 AM,60,0.14,Direct,,NoTOU
9/05/2014,7:00 AM,60,0.45,Direct,,NoTOU
9/05/2014,8:00 AM,60,0.26,Direct,,NoTOU
9/05/2014,9:00 AM,60,0.345,Direct,,NoTOU
9/05/2014,10:00 AM,60,0.295,Direct,,NoTOU
9/05/2014,11:00 AM,60,0.29,Direct,,NoTOU
9/05/2014,12:00 PM,60,0.29,Direct,,NoTOU
9/05/2014,1:00 PM,60,0.3,Direct,,NoTOU
9/05/2014,2:00 PM,60,2.95,Direct,,NoTOU
9/05/2014,3:00 PM,60,0.505,Direct,,NoTOU
9/05/2014,4:00 PM,60,0.8,Direct,,NoTOU
9/05/2014,5:00 PM,60,0.25,Direct,,NoTOU
9/05/2014,6:00 PM,60,0.155,Direct,,NoTOU
9/05/2014,7:00 PM,60,0.145,Direct,,NoTOU
9/05/2014,8:00 PM,60,0.14,Direct,,NoTOU
9/05/2014,9:00 PM,60,0.145,Direct,,NoTOU
9/05/2014,10:00 PM,60,0.125,Direct,,NoTOU
9/05/2014,11:00 PM,60,0.125,Direct,,NoTOU
9/06/2014,12:00 AM,60,0.135,Direct,,NoTOU
9/06/2014,1:00 AM,60,0.13,Direct,,NoTOU
9/06/2014,2:00 AM,60,0.135,Direct,,NoTOU
9/06/2014,3:00 AM,60,0.115,Direct,,NoTOU
9/06/2014,4:00 AM,60,0.12,Direct,,NoTOU
9/06/2014,5:00 AM,60,0.135,Direct,,NoTOU
9/06/2014,6:00 AM,60,0.125,Direct,,NoTOU
9/06/2014,7:00 AM,60,0.095,Direct,,NoTOU
9/06/2014,8:00 AM,60,0.1,Direct,,NoTOU
9/06/2014,9:00 AM,60,0.115,Direct,,NoTOU
9/06/2014,10:00 AM,60,0.105,Direct,,NoTOU
9/06/2014,11:00 AM,60,0.095,Direct,,NoTOU
9/06/2014,12:00 PM,60,0.115,Direct,,NoTOU
9/06/2014,1:00 PM,60,0.105,Direct,,NoTOU
9/06/2014,2:00 PM,60,0.15,Direct,,NoTOU
9/06/2014,3:00 PM,60,0.12,Direct,,NoTOU
9/06/2014,4:00 PM,60,0.115,Direct,,NoTOU
9/06/2014,5:00 PM,60,0.115,Direct,,NoTOU
9/06/2014,6:00 PM,60,0.12,Direct,,NoTOU
9/06/2014,7:00 PM,60,0.135,Direct,,NoTOU
9/06/2014,8:00 PM,60,0.135,Direct,,NoTOU
9/06/2014,9:00 PM,60,0.13,Direct,,NoTOU
9/06/2014,10:00 PM,60,0.13,Direct,,NoTOU
9/06/2014,11:00 PM,60,0.12,Direct,,NoTOU
9/07/2014,12:00 AM,60,0.125,Direct,,NoTOU
9/07/2014,1:00 AM,60,0.14,Direct,,NoTOU
9/07/2014,2:00 AM,60,0.135,Direct,,NoTOU
9/07/2014,3:00 AM,60,0.125,Direct,,NoTOU
9/07/2014,4:00 AM,60,0.115,Direct,,NoTOU
9/07/2014,5:00 AM,60,0.135,Direct,,NoTOU
9/07/2014,6:00 AM,60,0.125,Direct,,NoTOU
9/07/2014,7:00 AM,60,0.105,Direct,,NoTOU
9/07/2014,8:00 AM,60,0.095,Direct,,NoTOU
9/07/2014,9:00 AM,60,0.115,Direct,,NoTOU
9/07/2014,10:00 AM,60,0.115,Direct,,NoTOU
9/07/2014,11:00 AM,60,0.11,Direct,,NoTOU
9/07/2014,12:00 PM,60,0.095,Direct,,NoTOU
9/07/2014,1:00 PM,60,0.11,Direct,,NoTOU
